complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2024-09-21,(Null),3,0,0,0,3,3.71
2023-10-05,(Null),3,0,0,0,0,2.57
2022-12-23,(Null),3,0,0,0,0,3.0
2023-10-22,(Null),3,0,0,0,3,3.0
2024-10-03,(Null),3,0,0,0,0,2.71
2024-10-08,(Null),3,0,0,0,0,3.29
2023-04-05,(Null),3,0,0,0,0,1.86
2023-01-03,(Null),3,0,0,0,0,2.43
2023-09-27,(Null),3,0,0,0,0,2.86
2024-12-24,(Null),3,0,0,0,0,4.71
2024-11-07,(Null),3,0,0,0,0,2.86
2023-03-03,(Null),3,0,0,0,0,2.86
2023-03-06,(Null),4,0,0,0,0,2.71
2024-11-18,(Null),4,0,0,0,0,3.14
2024-05-12,(Null),4,0,0,0,4,3.0
2023-07-25,(Null),4,0,0,0,0,3.29
2024-09-11,(Null),4,0,0,0,0,5.43
2023-06-30,(Null),4,0,0,0,0,3.71
2023-08-02,(Null),4,0,0,0,0,4.0
2024-09-06,(Null),4,0,0,0,0,3.43
2023-03-12,(Null),4,0,0,0,4,3.14
2024-06-17,(Null),4,0,0,0,0,2.57
2024-07-21,(Null),4,0,0,0,4,2.86
2023-03-07,(Null),4,0,0,0,0,2.71
2023-10-04,(Null),4,0,0,0,0,2.43
2023-07-11,(Null),4,0,0,0,0,2.71
2024-06-04,(Null),4,0,0,0,0,2.57
2023-09-26,(Null),4,0,0,0,0,2.71
2023-10-15,(Null),4,0,0,0,4,4.0
2024-09-15,(Null),4,0,0,0,4,3.86
2023-05-22,(Null),4,0,0,0,0,2.29
2024-07-03,(Null),4,0,0,0,0,9.71
2023-06-20,(Null),4,0,0,0,0,2.57
2024-07-09,(Null),4,0,0,0,0,6.29
2024-10-01,(Null),4,0,0,0,0,2.71
2023-10-13,(Null),4,0,0,0,0,3.43
2023-11-07,(Null),4,0,0,0,0,4.14
2023-06-26,(Null),4,0,0,0,0,4.43
2024-09-24,(Null),4,0,0,0,0,3.29
2023-01-13,(Null),4,0,0,0,0,3.57
2024-08-29,(Null),4,0,0,0,0,3.0
2024-08-03,(Null),4,0,0,0,4,2.14
2023-04-08,(Null),4,0,0,0,4,2.0
2023-06-02,(Null),4,0,0,0,0,3.86
2023-10-29,(Null),4,0,0,0,4,3.29
2024-11-19,(Null),4,0,0,0,0,3.14
2024-06-12,(Null),4,0,0,0,0,3.29
2023-09-06,(Null),4,0,0,0,0,2.71
2022-11-28,(Null),4,0,0,0,0,4.86
2023-06-10,(Null),4,0,0,0,4,2.0
2024-09-26,(Null),4,0,0,0,0,3.14
2023-05-30,(Null),4,0,0,0,0,3.0
2023-09-17,(Null),4,0,0,0,4,3.57
2023-11-09,(Null),4,0,0,0,0,4.43
2023-12-13,(Null),4,0,0,0,0,5.0
2023-07-30,(Null),4,0,0,0,4,3.71
2023-11-21,(Null),4,0,0,0,0,2.86
2024-12-02,(Null),4,0,0,0,0,4.0
2024-07-06,(Null),4,0,0,0,4,10.0
2024-08-21,(Null),4,0,0,0,0,3.0
2023-06-06,(Null),4,0,0,0,0,3.0
2023-02-16,(Null),4,0,0,0,0,2.86
2024-07-19,(Null),4,0,0,0,0,3.71
2022-12-29,(Null),4,0,0,0,0,2.43
2024-10-14,(Null),4,0,0,0,0,3.0
2023-08-11,(Null),4,0,0,0,0,2.71
2024-05-13,(Null),4,0,0,0,0,3.29
2023-04-21,(Null),4,0,0,0,0,3.43
2023-07-07,(Null),4,0,0,0,0,3.86
2022-12-30,(Null),4,0,0,0,0,2.71
2024-05-09,(Null),4,0,0,0,0,2.57
2023-07-27,(Null),4,0,0,0,0,3.57
2023-01-21,(Null),4,0,0,0,4,2.86
2023-08-04,(Null),4,0,0,0,0,3.29
2024-09-16,(Null),4,0,0,0,0,3.71
2023-08-26,(Null),4,0,0,0,4,3.0
2023-02-12,(Null),4,0,0,0,4,2.57
2024-10-07,(Null),4,0,0,0,0,3.0
2023-09-22,(Null),4,0,0,0,0,2.57
